Feature ID,Feature Name,User Story,Expected Behaviour,Edge Cases,Test Cases,Current Status,Defect Count,Severity,Notes,Last Tested Date
F01,CLI: ls/find list collections,As a researcher I want to list and filter collections.,Compact table or JSON of collections with filters for tier/chain/license/contract/discord/mint/nft-type/dates.,Empty query lists all; argparse rejects illegal filters; --json is valid JSON.,TC01a sy ls; TC01b sy find --tier A --json; TC01c illegal --chain errors.,Pass,0,,"Exercised 2026-08-18: 69 collections, 20 tier-A. Counts in AGENTS.md (74) are stale vs live DB.",2026-08-18
F02,CLI: show collection detail,As a researcher I want full detail for one collection.,Exact name/id/slug/contract match wins over LIKE; missing query shows usage; unknown name prints Not found.,Partial LIKE still works after exact miss; --json dumps the row.,tests/test_sy_cli.py::test_show_prefers_exact_name_over_like_prefix; test_show_unknown_collection_reports_not_found.,Pass,1,Medium,DEFECT-QA-2026-08-18-03 FIXED: exact match now precedes LIKE so `sy show a` cannot land on the first alphabetical substring hit.,2026-08-18
F03,CLI: os OpenSea candidates,As a researcher I want to browse OpenSea leads.,Table/JSON of opensea_candidates with optional query and status filters.,Empty query lists all; no matches print a clear empty message.,TC03a sy os --json (216 rows this snapshot).,Pass,0,,216 candidates in live DB. Not a public-catalog surface (SCOPE.md cut).,2026-08-18
F04,CLI: avatars search,As a researcher I want to search indexed avatar rows.,Joins avatars to collections; default cap 50; --all removes cap.,Empty query still returns rows; --json valid.,TC04a sy avatars --json.,Pass,0,,"152 avatar rows in live DB (AGENTS.md 4,062 is stale).",2026-08-18
F05,CLI: stats,As a researcher I want completeness statistics.,"Human table plus --json with collections/avatars/candidates, by_tier/chain/license, completeness percents.",Zero collections would divide-by-zero-guard to 0%.,tests/test_sy_cli.py::test_stats_json_has_core_counts.,Pass,0,,JSON path covered.,2026-08-18
F06,CLI: audit gaps,As a researcher I want missing-field lists.,Per-field missing collections with source/chain.,Fields that are fully present print all present.,TC06a sy audit runs against live DB.,Pass,0,,Read-only.,2026-08-18
F07,CLI: images check/fix,As a researcher I want broken image URLs flagged.,HEAD-checks image_url/banner_image_url; --fix rewrites from OpenSea when a key exists.,TLS verification is disabled (CERT_NONE) so corporate MITM/research hosts still resolve — accepted local-tool risk. --fix no-ops without ~/.opensea/api_key.,TC07a structural review; live sweep not repeated (network).,Pass (sampled),0,Low,Accepted risk: ssl.CERT_NONE. Not changed this pass.,2026-08-18
F08,CLI: enrich,As a researcher I want one command to run enrichment scripts.,"Resolves named scripts from scripts/, not the repo root; missing script or nonzero child exits 1.",--only unknown name exits 1; --only supply runs scripts/check_supply.py.,tests/test_sy_cli.py enrich path tests.,Pass,1,High,DEFECT-QA-2026-08-18-01 FIXED: sy enrich looked for check_*.py at repo root.,2026-08-18
F09,CLI: build,As a researcher I want to rebuild the index HTML.,Runs scripts/build_index.py; opens static/index.html via open or xdg-open; --no-html skips the opener; builder failure propagates.,Missing opener prints the HTML path instead of crashing.,tests/test_sy_cli.py build path tests.,Pass,1,High,DEFECT-QA-2026-08-18-02 FIXED: sy build used repo-root build_index.py and macOS `open` on repo-root index.html.,2026-08-18
F10,CLI: schema,As a researcher I want the SQLite schema.,"PRAGMA table_info for collections, opensea_candidates, avatars, contracts.",Unknown tables are not listed (fixed set).,TC10a sy schema.,Pass,0,,Read-only.,2026-08-18
