Feature ID,Feature Name,User Story,Expected Behaviour,Edge Cases,Test Cases,Current Status,Defect Count,Severity,Notes,Last Tested Date
F01,CLI: ls/find list collections,As a researcher I want to list all collections so I can browse the index,Table of collections with name/tier/released/chain/license/URL/social/supply/type/avatars/contracts columns; supports --tier --chain --license --contract --discord --mint --nft-type --since --until --no-image --no-supply --json,Empty query returns all 74; invalid filter value rejected by argparse choices; --json outputs valid JSON,TC01a: sy ls (no args) returns 74 rows; TC01b: sy find --tier A returns 25; TC01c: sy find --chain WRONG errors; TC01d: sy find --json valid JSON; TC01e: sy find --no-image filters; TC01f: sy find --since 2024-01-01,Pending,0,,,
F02,CLI: show collection detail,As a researcher I want to see full detail for one collection so I can inspect its metadata,Full detail dump with all DB fields grouped by section; fuzzy name match via LIKE,Empty query shows usage; nonexistent name shows "Not found"; partial match works,TC02a: sy show RetroDoges shows all fields; TC02b: sy show "" shows usage; TC02c: sy show nonexistent shows not found; TC02d: sy show clonex (partial) works; TC02e: sy show --json valid JSON,Pending,0,,,
F03,CLI: os (OpenSea candidates),As a researcher I want to browse OpenSea candidates so I can find new VRM collections,Table of 216 OpenSea candidates with slug/name/chain/status/vrm/contracts; --status --nft-type --mint --no-image --json filters,Empty query returns all 216; invalid status filter,TC03a: sy os returns 216; TC03b: sy os --status vrm filters; TC03c: sy os --json valid; TC03d: sy os "retro" searches,Pending,0,,,
F04,CLI: avatars search,As a researcher I want to search avatars so I can find specific VRM models,Table of avatars with id/name/collection/format/thumbnail; search by name or collection_id,Empty query returns first 50; query matches name or collection,TC04a: sy avatars returns rows; TC04b: sy avatars "clonex" filters; TC04c: sy avatars --json valid,Pending,0,,,
F05,CLI: stats,As a researcher I want index statistics so I can assess data completeness,Summary counts + data completeness table with ASCII bar chart for all fields,No args needed; always returns current stats,TC05a: sy stats shows collection count; TC05b: sy stats shows completeness %; TC05c: sy stats --json valid,Pending,0,,,
F06,CLI: audit,As a researcher I want to find data gaps so I can prioritize enrichment,Lists collections missing critical fields (image description supply etc),No args; scans all collections for gaps,TC06a: sy audit runs; TC06b: sy audit shows missing fields; TC06c: sy audit --json valid,Pending,0,,,
F07,CLI: images check/fix,As a researcher I want to check and fix broken image URLs,Checks all image_url values via HEAD request; --fix fetches from OpenSea API,No API key shows error; network errors handled; --fix updates DB,TC07a: sy images checks URLs; TC07b: sy images --fix with API key; TC07c: sy images --json valid,Pending,0,,,
F08,CLI: enrich,As a researcher I want to run enrichment scripts to update data,Runs check_supply/check_traits/fetch_previews/fetch_collection_meta scripts,Invalid script name; missing dependencies,TC08a: sy enrich --all runs all; TC08b: sy enrich supply runs one,Pending,0,,,
F09,CLI: build,As a researcher I want to rebuild the DB and HTML from source,Runs build_index.py which rebuilds vrm_index.db and index.html,No args; rebuilds everything,TC09a: sy build rebuilds DB; TC09b: sy build shows collection count,Pending,0,,,
F10,CLI: schema,As a researcher I want to see the DB schema,Prints CREATE TABLE statements for all tables,No args,TC10a: sy schema shows collections table; TC10b: sy schema shows avatars table,Pending,0,,,
